customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,R_Score,F_Score,M_Score,RFMClass_text,Segment,Segment_Sort
Chantel Sipes MD,2,20,77,2,2,2,222,4,4,4,444,VIP,1
Chantelle Gaylord,1,27,24,2,4,4,244,3,1,1,311,Regular,5
Chantelle Murazik DDS,2,44,101,3,2,2,322,3,4,4,344,Big Spenders,3
Chantelle O'Connell,2,72,111,4,2,1,421,1,4,4,144,Big Spenders,3
Charissa Bartoletti,1,71,46,4,4,3,443,1,1,2,112,At Risk,6
Charissa McDermott,5,6,243,1,1,1,111,5,5,5,555,VIP,1
Charissa Quitzon,1,46,21,3,4,4,344,2,1,1,211,At Risk,6
Charisse Cummings,1,47,54,3,4,3,343,2,1,2,212,At Risk,6
Charity Conn PhD,1,87,53,4,4,3,443,1,1,2,112,At Risk,6
Charity Rodriguez,3,5,112,1,1,1,111,5,5,4,554,VIP,1
Charity Stoltenberg,1,52,28,3,4,4,344,2,1,1,211,At Risk,6
Charla McDermott,1,4,44,1,4,4,144,5,1,2,512,New/Higher Recency,4
Charlene Rohan,3,21,160,2,1,1,211,4,5,5,455,VIP,1
Charlene Schimmel,1,39,29,3,4,4,344,3,1,1,311,Regular,5
Charles Wyman,3,5,111,1,1,1,111,5,5,4,554,VIP,1
Charley Johnston,1,74,26,4,4,4,444,1,1,1,111,At Risk,6
Charley Sauer,1,37,54,2,4,3,243,3,1,2,312,Regular,5
Charlie Hahn,1,88,59,4,4,3,443,1,1,3,113,Regular,5
Charlie Hansen,2,58,99,3,2,2,322,2,4,4,244,Big Spenders,3
Charlie Leuschke,1,74,77,4,4,2,442,1,1,4,114,Regular,5
Charlie Lynch,1,64,39,4,4,4,444,2,1,1,211,At Risk,6
Charlie Stark,4,42,212,3,1,1,311,3,5,5,355,Big Spenders,3
Charline Kuhn,2,30,99,2,2,2,222,3,4,4,344,Big Spenders,3
Charlotte Effertz,1,75,59,4,4,3,443,1,1,3,113,Regular,5
Charlotte Emmerich,1,86,64,4,4,3,443,1,1,3,113,Regular,5
Charlotte Weissnat DVM,1,27,31,2,4,4,244,3,1,1,311,Regular,5
Charlottie Daugherty,1,88,53,4,4,3,443,1,1,2,112,At Risk,6
Charls Abbott,1,71,27,4,4,4,444,1,1,1,111,At Risk,6
Charls Rempel DDS,1,90,73,4,4,2,442,1,1,3,113,Regular,5
Charlsie Carroll PhD,1,51,22,3,4,4,344,2,1,1,211,At Risk,6
Charlsie Dooley,1,5,36,1,4,4,144,5,1,1,511,New/Higher Recency,4
Charlsie Little,2,49,105,3,2,2,322,2,4,4,244,Big Spenders,3
Charlton Hayes,1,39,40,3,4,4,344,3,1,2,312,Regular,5
Charlton Jerde,3,12,155,1,1,1,111,4,5,5,455,VIP,1
Charly Brekke,1,26,79,2,4,2,242,3,1,4,314,Regular,5
Charly Kuhic IV,1,8,55,1,4,3,143,5,1,2,512,New/Higher Recency,4
Charly Little,2,39,103,3,2,2,322,3,4,4,344,Big Spenders,3
Charly Ortiz MD,1,55,63,3,4,3,343,2,1,3,213,Regular,5
Charly Steuber,6,6,316,1,1,1,111,5,5,5,555,VIP,1
Charly Streich,1,9,34,1,4,4,144,5,1,1,511,New/Higher Recency,4
Charmaine Dickinson,1,20,26,2,4,4,244,4,1,1,411,Regular,5
Charolette Klein,7,43,422,3,1,1,311,3,5,5,355,Big Spenders,3
Charolette Schmeler,1,73,48,4,4,3,443,1,1,2,112,At Risk,6
Chas Buckridge,1,32,43,2,4,4,244,3,1,2,312,Regular,5
Chas Effertz,6,69,272,4,1,1,411,1,5,5,155,Big Spenders,3
Chas Osinski,4,39,177,3,1,1,311,3,5,5,355,Big Spenders,3
Chase Ernser,2,12,112,1,2,1,121,4,4,4,444,VIP,1
Chase Hermiston DVM,1,74,45,4,4,3,443,1,1,2,112,At Risk,6
Chase Marks,1,45,34,3,4,4,344,3,1,1,311,Regular,5
Chase Nicolas,1,47,54,3,4,3,343,2,1,2,212,At Risk,6
Chase O'Conner,1,82,63,4,4,3,443,1,1,3,113,Regular,5
Chase Skiles,1,4,72,1,4,2,142,5,1,3,513,New/Higher Recency,4
Chasity Flatley,1,58,37,3,4,4,344,2,1,1,211,At Risk,6
Chasity Reichert MD,4,45,198,3,1,1,311,3,5,5,355,Big Spenders,3
Chastity Greenfelder PhD,3,3,163,1,1,1,111,5,5,5,555,VIP,1
Chastity Macejkovic,1,68,36,4,4,4,444,1,1,1,111,At Risk,6
Chauncey Dickinson,2,47,132,3,2,1,321,2,4,5,245,Big Spenders,3
Chauncey Roob,1,67,72,4,4,2,442,2,1,3,213,Regular,5
Chauncey Walter,3,1,141,1,1,1,111,5,5,5,555,VIP,1
Chaya Berge,1,39,71,3,4,2,342,3,1,3,313,Regular,5
Chaz Balistreri,1,13,61,2,4,3,243,4,1,3,413,Regular,5
Chaz Hilpert,1,5,33,1,4,4,144,5,1,1,511,New/Higher Recency,4
Chelsea Paucek,1,70,33,4,4,4,444,1,1,1,111,At Risk,6
Chelsea Waters,3,6,122,1,1,1,111,5,5,4,554,VIP,1
Chelsey Mosciski,1,20,25,2,4,4,244,4,1,1,411,Regular,5
Chelsey Reynolds MD,1,46,73,3,4,2,342,2,1,3,213,Regular,5
Chelsi Ernser,1,27,20,2,4,4,244,3,1,1,311,Regular,5
Chelsi Flatley,4,38,231,2,1,1,211,3,5,5,355,Big Spenders,3
Chelsi Lowe,2,43,138,3,2,1,321,3,4,5,345,Big Spenders,3
Chelsie Rowe,1,2,70,1,4,2,142,5,1,3,513,New/Higher Recency,4
Chelsy Herman,1,61,43,4,4,4,444,2,1,2,212,At Risk,6
Chelsy Weber,1,63,34,4,4,4,444,2,1,1,211,At Risk,6
Cher Cole PhD,1,39,71,3,4,2,342,3,1,3,313,Regular,5
Cher Denesik,2,12,71,1,2,2,122,4,4,3,443,Loyal,2
Cher Morar,1,18,70,2,4,2,242,4,1,3,413,Regular,5
Cherrelle Bartell,6,3,359,1,1,1,111,5,5,5,555,VIP,1
Cherri Kovacek,1,48,57,3,4,3,343,2,1,2,212,At Risk,6
Cherry Kuhic,1,42,50,3,4,3,343,3,1,2,312,Regular,5
Cherry Roob,1,15,60,2,4,3,243,4,1,3,413,Regular,5
Cherry Treutel,1,49,66,3,4,3,343,2,1,3,213,Regular,5
Cherryl Kertzmann,4,19,213,2,1,1,211,4,5,5,455,VIP,1
Cherryl Smitham MD,2,9,123,1,2,1,121,5,4,4,544,VIP,1
Cheryl Ondricka,1,23,63,2,4,3,243,4,1,3,413,Regular,5
Cheryle Kuvalis,1,75,28,4,4,4,444,1,1,1,111,At Risk,6
Cheryll Armstrong,1,56,37,3,4,4,344,2,1,1,211,At Risk,6
Cheryll Jacobs,1,37,43,2,4,4,244,3,1,2,312,Regular,5
Cheryll Marquardt PhD,2,31,91,2,2,2,222,3,4,4,344,Big Spenders,3
Cheryll Schamberger,2,4,119,1,2,1,121,5,4,4,544,VIP,1
Cheryll Toy,4,12,195,1,1,1,111,4,5,5,455,VIP,1
Chessie Crooks,1,1,40,1,4,4,144,5,1,2,512,New/Higher Recency,4
Chessie Kessler DDS,3,86,163,4,1,1,411,1,5,5,155,Big Spenders,3
Chessie Lindgren,2,59,112,3,2,1,321,2,4,4,244,Big Spenders,3
Chessie Mitchell,1,71,70,4,4,2,442,1,1,3,113,Regular,5
Chessie O'Hara,1,53,29,3,4,4,344,2,1,1,211,At Risk,6
Chessie Okuneva,3,11,184,1,1,1,111,4,5,5,455,VIP,1
Chessie Reichel,3,41,154,3,1,1,311,3,5,5,355,Big Spenders,3
Chester Greenholt,2,31,64,2,2,3,223,3,4,3,343,Big Spenders,3
Chester Kuhn,1,51,32,3,4,4,344,2,1,1,211,At Risk,6
Chester Parker,2,45,76,3,2,2,322,3,4,4,344,Big Spenders,3
Chester Prosacco,3,40,140,3,1,1,311,3,5,5,355,Big Spenders,3
Chestina Kunde,1,42,79,3,4,2,342,3,1,4,314,Regular,5
Chet Johnston,1,48,20,3,4,4,344,2,1,1,211,At Risk,6
Chet Von,1,88,38,4,4,4,444,1,1,1,111,At Risk,6
Cheyenne Conroy,2,4,70,1,2,2,122,5,4,3,543,Loyal,2
Cheyenne Herzog,1,55,25,3,4,4,344,2,1,1,211,At Risk,6
Cheyenne Hills DDS,1,18,59,2,4,3,243,4,1,3,413,Regular,5
Cheyenne Kiehn,2,70,74,4,2,2,422,1,4,3,143,Big Spenders,3
Cheyenne Wintheiser,1,46,79,3,4,2,342,2,1,4,214,Regular,5
Chimere Ziemann,1,89,73,4,4,2,442,1,1,3,113,Regular,5
Chin Hansen III,1,89,67,4,4,3,443,1,1,3,113,Regular,5
China Corwin MD,1,88,54,4,4,3,443,1,1,2,112,At Risk,6
China Grady,1,4,39,1,4,4,144,5,1,1,511,New/Higher Recency,4
China Trantow,4,5,125,1,1,1,111,5,5,5,555,VIP,1
Chip Pouros,1,29,55,2,4,3,243,3,1,2,312,Regular,5
Chiquita Metz,1,50,72,3,4,2,342,2,1,3,213,Regular,5
Chiquita Turner,2,88,82,4,2,2,422,1,4,4,144,Big Spenders,3
Chloie Haag,1,44,79,3,4,2,342,3,1,4,314,Regular,5
Chloie Schmidt DDS,6,10,290,1,1,1,111,5,5,5,555,VIP,1
Chris Wolf II,1,47,77,3,4,2,342,2,1,4,214,Regular,5
Chrissy Cassin,4,71,239,4,1,1,411,1,5,5,155,Big Spenders,3
Christa Krajcik,2,45,98,3,2,2,322,3,4,4,344,Big Spenders,3
Christal Anderson,4,3,173,1,1,1,111,5,5,5,555,VIP,1
Christal Dooley,2,5,134,1,2,1,121,5,4,5,545,VIP,1
Christal Lakin DDS,1,15,51,2,4,3,243,4,1,2,412,Regular,5
Christeen Farrell,1,76,21,4,4,4,444,1,1,1,111,At Risk,6
Christeen Flatley,1,20,69,2,4,2,242,4,1,3,413,Regular,5
Christeen Jakubowski,1,11,43,1,4,4,144,4,1,2,412,Regular,5
Christeen Walter,2,14,77,2,2,2,222,4,4,4,444,VIP,1
Christen Mante,2,84,108,4,2,1,421,1,4,4,144,Big Spenders,3
Christen Quitzon,4,6,228,1,1,1,111,5,5,5,555,VIP,1
Christene Altenwerth,1,66,74,4,4,2,442,2,1,3,213,Regular,5
Christene Wisoky,1,80,33,4,4,4,444,1,1,1,111,At Risk,6
Christi Connelly,1,56,45,3,4,3,343,2,1,2,212,At Risk,6
Christi Spencer,1,3,28,1,4,4,144,5,1,1,511,New/Higher Recency,4
Christian Grant,2,11,106,1,2,2,122,4,4,4,444,VIP,1
Christian Heaney,1,33,21,2,4,4,244,3,1,1,311,Regular,5
Christian Ratke I,1,36,63,2,4,3,243,3,1,3,313,Regular,5
Christian Ritchie,1,88,64,4,4,3,443,1,1,3,113,Regular,5
Christian Windler,1,25,66,2,4,3,243,4,1,3,413,Regular,5
Christiana Lemke,1,77,80,4,4,2,442,1,1,4,114,Regular,5
Christiana Shields,1,34,41,2,4,4,244,3,1,2,312,Regular,5
Christie Greenfelder,1,16,42,2,4,4,244,4,1,2,412,Regular,5
Christion Kuhn,1,74,33,4,4,4,444,1,1,1,111,At Risk,6
Christion Lesch,1,36,38,2,4,4,244,3,1,1,311,Regular,5
Christoper Boyer V,1,5,27,1,4,4,144,5,1,1,511,New/Higher Recency,4
Christophe Hilpert,1,5,57,1,4,3,143,5,1,2,512,New/Higher Recency,4
Christophe Labadie,1,87,28,4,4,4,444,1,1,1,111,At Risk,6
Christophe McClure,1,12,52,1,4,3,143,4,1,2,412,Regular,5
Christopher Leffler,1,88,60,4,4,3,443,1,1,3,113,Regular,5
Christy Robel,1,56,71,3,4,2,342,2,1,3,213,Regular,5
Chrystal Jewess,1,59,30,3,4,4,344,2,1,1,211,At Risk,6
Chrystal Ullrich,1,36,30,2,4,4,244,3,1,1,311,Regular,5
Chuck Cruickshank,2,3,91,1,2,2,122,5,4,4,544,VIP,1
Chyna Baumbach,1,42,23,3,4,4,344,3,1,1,311,Regular,5
Chyna Torp,1,80,33,4,4,4,444,1,1,1,111,At Risk,6
Chynna Kunde,2,49,75,3,2,2,322,2,4,3,243,Big Spenders,3
Chynna Kuphal,1,13,40,2,4,4,244,4,1,2,412,Regular,5
Ciara Rutherford,2,68,82,4,2,2,422,1,4,4,144,Big Spenders,3
Ciarra O'Keefe,3,6,201,1,1,1,111,5,5,5,555,VIP,1
Cicely Jacobson,1,88,41,4,4,4,444,1,1,2,112,At Risk,6
Cicely Swaniawski MD,4,63,159,4,1,1,411,2,5,5,255,Big Spenders,3
Cielo Batz MD,2,42,104,3,2,2,322,3,4,4,344,Big Spenders,3
Cielo Bernier,1,6,20,1,4,4,144,5,1,1,511,New/Higher Recency,4
Cielo Jones,1,3,27,1,4,4,144,5,1,1,511,New/Higher Recency,4
Cielo Mayer,1,6,32,1,4,4,144,5,1,1,511,New/Higher Recency,4
Cielo O'Keefe,1,72,58,4,4,3,443,1,1,2,112,At Risk,6
Ciera Bernhard,1,6,33,1,4,4,144,5,1,1,511,New/Higher Recency,4
Ciera Cruickshank PhD,2,19,79,2,2,2,222,4,4,4,444,VIP,1
Ciera Sawayn,1,80,34,4,4,4,444,1,1,1,111,At Risk,6
Cierra Ruecker,3,27,116,2,1,1,211,3,5,4,354,Big Spenders,3
Cierra Skiles,1,36,30,2,4,4,244,3,1,1,311,Regular,5
Cinda Beahan,3,43,91,3,1,2,312,3,5,4,354,Big Spenders,3
Cinda Grant PhD,4,60,217,4,1,1,411,2,5,5,255,Big Spenders,3
Cinda Hegmann,1,42,48,3,4,3,343,3,1,2,312,Regular,5
Cindi Watsica,1,67,20,4,4,4,444,2,1,1,211,At Risk,6
Cindy Gulgowski,2,82,113,4,2,1,421,1,4,4,144,Big Spenders,3
Cindy Homenick,3,11,187,1,1,1,111,4,5,5,455,VIP,1
Cindy Weimann,4,4,231,1,1,1,111,5,5,5,555,VIP,1
Cinthia Borer,1,3,29,1,4,4,144,5,1,1,511,New/Higher Recency,4
Cinthia Cormier,1,88,62,4,4,3,443,1,1,3,113,Regular,5
Claiborne Bogisich,1,3,69,1,4,2,142,5,1,3,513,New/Higher Recency,4
Claiborne Durgan,1,89,23,4,4,4,444,1,1,1,111,At Risk,6
Claiborne Fahey,1,66,66,4,4,3,443,2,1,3,213,Regular,5
Clair Dietrich,6,2,273,1,1,1,111,5,5,5,555,VIP,1
Clair Green,1,46,63,3,4,3,343,2,1,3,213,Regular,5
Clair Haag V,2,64,104,4,2,2,422,2,4,4,244,Big Spenders,3
Clair Schuppe,1,28,28,2,4,4,244,3,1,1,311,Regular,5
Claire Hayes,1,65,38,4,4,4,444,2,1,1,211,At Risk,6
Claire Terry,1,55,33,3,4,4,344,2,1,1,211,At Risk,6
Claire Torp,1,69,35,4,4,4,444,1,1,1,111,At Risk,6
Clara Muller PhD,1,6,76,1,4,2,142,5,1,4,514,New/Higher Recency,4
Clara Wilderman,1,42,51,3,4,3,343,3,1,2,312,Regular,5
Clarabelle Rowe,1,10,28,1,4,4,144,5,1,1,511,New/Higher Recency,4
Clarance McLaughlin,1,40,79,3,4,2,342,3,1,4,314,Regular,5
Clare Carroll,2,86,138,4,2,1,421,1,4,5,145,Big Spenders,3
Clare Hansen,1,14,79,2,4,2,242,4,1,4,414,Regular,5
Clare McCullough,1,40,73,3,4,2,342,3,1,3,313,Regular,5
Clare Nicolas,1,17,57,2,4,3,243,4,1,2,412,Regular,5
Clare Wintheiser DDS,1,6,60,1,4,3,143,5,1,3,513,New/Higher Recency,4
Clarence Swaniawski,7,2,304,1,1,1,111,5,5,5,555,VIP,1
Claribel Conn MD,1,47,53,3,4,3,343,2,1,2,212,At Risk,6
Clarice Bradtke,1,68,45,4,4,3,443,1,1,2,112,At Risk,6
Clarinda Kris,1,33,55,2,4,3,243,3,1,2,312,Regular,5
Clarinda Lemke,1,2,35,1,4,4,144,5,1,1,511,New/Higher Recency,4
Clarisa Beer,1,12,61,1,4,3,143,4,1,3,413,Regular,5
Clarisa Hayes,1,83,77,4,4,2,442,1,1,4,114,Regular,5
Clarke Pfeffer,3,77,117,4,1,1,411,1,5,4,154,Big Spenders,3
Clarke Sanford,2,5,123,1,2,1,121,5,4,4,544,VIP,1
Classie Daniel,1,40,35,3,4,4,344,3,1,1,311,Regular,5
Classie Littel,1,52,76,3,4,2,342,2,1,4,214,Regular,5
Classie Sipes,1,34,79,2,4,2,242,3,1,4,314,Regular,5
Claud Daniel,1,73,64,4,4,3,443,1,1,3,113,Regular,5
Claude Stroman,3,6,187,1,1,1,111,5,5,5,555,VIP,1
Claudette Cummings DVM,1,71,45,4,4,3,443,1,1,2,112,At Risk,6
Claudette Sawayn,1,1,47,1,4,3,143,5,1,2,512,New/Higher Recency,4
Claudette Schuppe,1,74,28,4,4,4,444,1,1,1,111,At Risk,6
Claudine Kihn,2,3,82,1,2,2,122,5,4,4,544,VIP,1
Claudio Mayert,2,18,139,2,2,1,221,4,4,5,445,VIP,1
Claudius Denesik Sr.,6,4,320,1,1,1,111,5,5,5,555,VIP,1
Claus Bradtke,5,6,230,1,1,1,111,5,5,5,555,VIP,1
Claus Gutmann,2,2,144,1,2,1,121,5,4,5,545,VIP,1
Claus Hammes,1,81,37,4,4,4,444,1,1,1,111,At Risk,6
Claus Kshlerin PhD,1,46,56,3,4,3,343,2,1,2,212,At Risk,6
Claus Leuschke,4,33,236,2,1,1,211,3,5,5,355,Big Spenders,3
Claus Padberg Sr.,1,60,30,4,4,4,444,2,1,1,211,At Risk,6
Clay Romaguera Sr.,3,41,144,3,1,1,311,3,5,5,355,Big Spenders,3
Clay Roob,3,60,99,4,1,2,412,2,5,4,254,Big Spenders,3
Clayton Nitzsche,1,68,48,4,4,3,443,1,1,2,112,At Risk,6
Clearence Jerde,1,47,31,3,4,4,344,2,1,1,211,At Risk,6
Cleave O'Reilly,1,49,54,3,4,3,343,2,1,2,212,At Risk,6
Clell Gleichner,2,3,95,1,2,2,122,5,4,4,544,VIP,1
Clell Greenfelder,1,56,32,3,4,4,344,2,1,1,211,At Risk,6
Clell Lebsack,1,22,29,2,4,4,244,4,1,1,411,Regular,5
Clella Abernathy,1,43,74,3,4,2,342,3,1,3,313,Regular,5
Clella Nicolas,1,18,30,2,4,4,244,4,1,1,411,Regular,5
Clella Shanahan,2,9,122,1,2,1,121,5,4,4,544,VIP,1
Clem Ankunding MD,1,29,46,2,4,3,243,3,1,2,312,Regular,5
Clem Kessler,1,57,64,3,4,3,343,2,1,3,213,Regular,5
Clem Marvin,6,12,287,1,1,1,111,4,5,5,455,VIP,1
Clemence Block,5,4,260,1,1,1,111,5,5,5,555,VIP,1
Clemence Cronin,3,4,115,1,1,1,111,5,5,4,554,VIP,1
Clemence Rogahn,1,6,41,1,4,4,144,5,1,2,512,New/Higher Recency,4
Clemence Smitham,2,38,141,2,2,1,221,3,4,5,345,Big Spenders,3
Clemens Fay Jr.,1,34,40,2,4,4,244,3,1,2,312,Regular,5
Clemens Schowalter,1,39,52,3,4,3,343,3,1,2,312,Regular,5
Clemens Torp,1,21,53,2,4,3,243,4,1,2,412,Regular,5
Clement Roberts,1,90,45,4,4,3,443,1,1,2,112,At Risk,6
Clement Stehr IV,1,5,80,1,4,2,142,5,1,4,514,New/Higher Recency,4
Clementina Pollich DDS,1,87,31,4,4,4,444,1,1,1,111,At Risk,6
Clemie Rice,2,40,60,3,2,3,323,3,4,3,343,Big Spenders,3
Clemma Hammes,2,12,92,1,2,2,122,4,4,4,444,VIP,1
Clemon Gibson,1,85,28,4,4,4,444,1,1,1,111,At Risk,6
Clemon Mraz,4,12,183,1,1,1,111,4,5,5,455,VIP,1
Clemon Simonis,2,84,64,4,2,3,423,1,4,3,143,Big Spenders,3
Cleo Mueller DDS,1,17,37,2,4,4,244,4,1,1,411,Regular,5
Cleola Christiansen,3,53,120,3,1,1,311,2,5,4,254,Big Spenders,3
Cleola Wyman,1,87,43,4,4,4,444,1,1,2,112,At Risk,6
Cleon Ebert Sr.,4,52,206,3,1,1,311,2,5,5,255,Big Spenders,3
Cleon Herman,2,6,122,1,2,1,121,5,4,4,544,VIP,1
Cleon Mayer,1,59,29,3,4,4,344,2,1,1,211,At Risk,6
Cleon Stanton PhD,1,4,78,1,4,2,142,5,1,4,514,New/Higher Recency,4
Cleone Kovacek,3,40,132,3,1,1,311,3,5,5,355,Big Spenders,3
Cleora Fritsch,1,59,27,3,4,4,344,2,1,1,211,At Risk,6
Cleora Kutch,9,6,441,1,1,1,111,5,5,5,555,VIP,1
Cleta Blick,1,55,77,3,4,2,342,2,1,4,214,Regular,5
Cleta Funk,1,6,25,1,4,4,144,5,1,1,511,New/Higher Recency,4
Cleve Hirthe,1,3,50,1,4,3,143,5,1,2,512,New/Higher Recency,4
Cleve Mayert III,3,3,124,1,1,1,111,5,5,5,555,VIP,1
Cleveland Fay,1,52,78,3,4,2,342,2,1,4,214,Regular,5
Cleveland Feil,1,45,54,3,4,3,343,3,1,2,312,Regular,5
Cleveland Hills,1,31,66,2,4,3,243,3,1,3,313,Regular,5
Cleveland Leannon,2,38,97,2,2,2,222,3,4,4,344,Big Spenders,3
Cleveland Stanton,1,12,20,1,4,4,144,4,1,1,411,Regular,5
Clevie Emard,1,36,78,2,4,2,242,3,1,4,314,Regular,5
Clevie Shields,1,47,79,3,4,2,342,2,1,4,214,Regular,5
Clevie Yundt,2,0,69,1,2,2,122,5,4,3,543,Loyal,2
Clide Wehner,1,39,74,3,4,2,342,3,1,3,313,Regular,5
Cliff Jacobson,1,68,52,4,4,3,443,1,1,2,112,At Risk,6
Cliff Kunde,1,20,73,2,4,2,242,4,1,3,413,Regular,5
Clifford Crooks,1,69,59,4,4,3,443,1,1,3,113,Regular,5
Clifton Bednar,1,87,42,4,4,4,444,1,1,2,112,At Risk,6
Clifton Blanda,5,5,252,1,1,1,111,5,5,5,555,VIP,1
Clifton Farrell PhD,1,74,20,4,4,4,444,1,1,1,111,At Risk,6
Clifton Fisher,1,5,32,1,4,4,144,5,1,1,511,New/Higher Recency,4
Clifton O'Kon MD,4,2,229,1,1,1,111,5,5,5,555,VIP,1
Clifton Wiegand,4,39,260,3,1,1,311,3,5,5,355,Big Spenders,3
Clint Orn,1,87,24,4,4,4,444,1,1,1,111,At Risk,6
Clinton Kulas,1,46,33,3,4,4,344,2,1,1,211,At Risk,6
Clinton Nienow,1,52,73,3,4,2,342,2,1,3,213,Regular,5
Clinton Ritchie,24,2,1203,1,1,1,111,5,5,5,555,VIP,1
Clinton Wehner,1,18,46,2,4,3,243,4,1,2,412,Regular,5
Cloe Effertz PhD,2,88,79,4,2,2,422,1,4,4,144,Big Spenders,3
Clora Bernhard,1,73,53,4,4,3,443,1,1,2,112,At Risk,6
Clotilda Schmeler,2,10,142,1,2,1,121,5,4,5,545,VIP,1
Clotilde Kilback,2,11,99,1,2,2,122,4,4,4,444,VIP,1
Clovis Feil I,1,75,42,4,4,4,444,1,1,2,112,At Risk,6
Cloyd Bartell IV,1,19,25,2,4,4,244,4,1,1,411,Regular,5
Clyda Bechtelar,3,4,131,1,1,1,111,5,5,5,555,VIP,1
Clyde Waelchi,1,23,26,2,4,4,244,4,1,1,411,Regular,5
Clydie Schulist DVM,1,11,35,1,4,4,144,4,1,1,411,Regular,5
Clytie Beer,1,46,50,3,4,3,343,2,1,2,212,At Risk,6
Clytie Cole,1,9,30,1,4,4,144,5,1,1,511,New/Higher Recency,4
Coby Moen,1,88,26,4,4,4,444,1,1,1,111,At Risk,6
Codey Lemke DVM,3,62,144,4,1,1,411,2,5,5,255,Big Spenders,3
Codi Pfeffer,1,46,79,3,4,2,342,2,1,4,214,Regular,5
Cody Jakubowski,1,44,41,3,4,4,344,3,1,2,312,Regular,5
Cody Morar,1,77,67,4,4,3,443,1,1,3,113,Regular,5
Cohen Prosacco,2,2,68,1,2,2,122,5,4,3,543,Loyal,2
Cohen Stracke,1,63,31,4,4,4,444,2,1,1,211,At Risk,6
Colbert Boyer Sr.,1,80,51,4,4,3,443,1,1,2,112,At Risk,6
Colbert Heidenreich,2,10,115,1,2,1,121,5,4,4,544,VIP,1
Colby Mitchell,2,15,106,2,2,2,222,4,4,4,444,VIP,1
Colby Quigley,1,27,68,2,4,2,242,3,1,3,313,Regular,5
Cole Jacobs DVM,1,11,49,1,4,3,143,4,1,2,412,Regular,5
Coleen Rau,1,84,36,4,4,4,444,1,1,1,111,At Risk,6
Coleen Toy,1,32,55,2,4,3,243,3,1,2,312,Regular,5
Coleton Moore,1,71,68,4,4,2,442,1,1,3,113,Regular,5
Coleton Quigley,1,47,46,3,4,3,343,2,1,2,212,At Risk,6
Coletta Harvey,2,71,99,4,2,2,422,1,4,4,144,Big Spenders,3
Coletta Kunde,5,19,237,2,1,1,211,4,5,5,455,VIP,1
Coletta McGlynn DDS,2,6,73,1,2,2,122,5,4,3,543,Loyal,2
Coletta Oberbrunner,1,26,32,2,4,4,244,3,1,1,311,Regular,5
Coletta Simonis,1,4,61,1,4,3,143,5,1,3,513,New/Higher Recency,4
Coley Konopelski DDS,1,81,31,4,4,4,444,1,1,1,111,At Risk,6
Coley Lind Sr.,1,66,39,4,4,4,444,2,1,1,211,At Risk,6
Coley Pacocha,1,11,44,1,4,4,144,4,1,2,412,Regular,5
Colie Cruickshank,3,12,103,1,1,2,112,4,5,4,454,VIP,1
Colie Herzog,1,46,59,3,4,3,343,2,1,3,213,Regular,5
Colie Lubowitz,1,7,32,1,4,4,144,5,1,1,511,New/Higher Recency,4
Colin Sawayn,2,12,97,1,2,2,122,4,4,4,444,VIP,1
Colleen Gislason,1,44,38,3,4,4,344,3,1,1,311,Regular,5
Colleen Reilly,2,29,83,2,2,2,222,3,4,4,344,Big Spenders,3
Collette Schinner PhD,3,12,173,1,1,1,111,4,5,5,455,VIP,1
Collette Watsica,1,63,71,4,4,2,442,2,1,3,213,Regular,5
Collie Greenholt,1,72,70,4,4,2,442,1,1,3,113,Regular,5
Collie Von MD,3,47,129,3,1,1,311,2,5,5,255,Big Spenders,3
Collier Kulas,2,47,86,3,2,2,322,2,4,4,244,Big Spenders,3
Collier Swaniawski II,2,4,88,1,2,2,122,5,4,4,544,VIP,1
Collin Johns,6,11,346,1,1,1,111,4,5,5,455,VIP,1
Collins Haag,1,1,27,1,4,4,144,5,1,1,511,New/Higher Recency,4
Collins Homenick Sr.,2,11,151,1,2,1,121,4,4,5,445,VIP,1
Collins Medhurst,1,40,47,3,4,3,343,3,1,2,312,Regular,5
Collis Blick,2,12,78,1,2,2,122,4,4,4,444,VIP,1
Collis Crist Sr.,1,46,42,3,4,4,344,2,1,2,212,At Risk,6
Collis Franecki,1,63,21,4,4,4,444,2,1,1,211,At Risk,6
Collis Mohr,2,19,99,2,2,2,222,4,4,4,444,VIP,1
Collis Russel,1,14,30,2,4,4,244,4,1,1,411,Regular,5
Colon Nienow,2,6,75,1,2,2,122,5,4,3,543,Loyal,2
Colon Pacocha,1,13,55,2,4,3,243,4,1,2,412,Regular,5
Colonel Friesen,2,3,68,1,2,2,122,5,4,3,543,Loyal,2
Colonel Kovacek,5,6,251,1,1,1,111,5,5,5,555,VIP,1
Colonel Lang,3,24,137,2,1,1,211,4,5,5,455,VIP,1
Colt Gutmann,1,42,66,3,4,3,343,3,1,3,313,Regular,5
Colten Kuphal DDS,2,32,88,2,2,2,222,3,4,4,344,Big Spenders,3
Colter Ledner,5,3,250,1,1,1,111,5,5,5,555,VIP,1
Columbia Bednar,4,18,167,2,1,1,211,4,5,5,455,VIP,1
Columbia Flatley DVM,2,12,96,1,2,2,122,4,4,4,444,VIP,1
Columbus Dickens,1,60,47,4,4,3,443,2,1,2,212,At Risk,6
Columbus Hane,1,6,58,1,4,3,143,5,1,2,512,New/Higher Recency,4
Colvin Block,1,89,79,4,4,2,442,1,1,4,114,Regular,5
